Vesta static timing analysis, pin-to-register and register-to-pin maximum timing

Top 20 maximum delay paths:
Path input pin RDY to DFFPOSX1_127/D delay 4555.28 ps
      4.4 ps          RDY:               ->      BUFX4_4/A
    298.6 ps  RDY_bF_buf5:     BUFX4_4/Y ->   NAND2X1_31/A
    441.1 ps       _1003_:  NAND2X1_31/Y ->   OAI21X1_29/C
    917.6 ps     DIMUX_0_:  OAI21X1_29/Y ->     INVX2_33/A
   1194.4 ps        _104_:    INVX2_33/Y ->  OAI21X1_141/A
   1336.5 ps        _126_: OAI21X1_141/Y ->   NOR2X1_138/B
   1424.8 ps        _127_:  NOR2X1_138/Y ->  OAI21X1_153/C
   1640.2 ps        AI_0_: OAI21X1_153/Y ->    INVX1_178/A
   1814.1 ps       _1472_:   INVX1_178/Y ->  OAI21X1_415/C
   1930.5 ps       _1474_: OAI21X1_415/Y ->  NAND2X1_219/B
   2043.0 ps       _1475_: NAND2X1_219/Y ->  OAI21X1_416/B
   2294.2 ps       _1476_: OAI21X1_416/Y ->  OAI21X1_428/C
   2547.0 ps       _1508_: OAI21X1_428/Y ->  OAI21X1_429/C
   2684.0 ps       _1511_: OAI21X1_429/Y ->  NAND2X1_225/B
   2873.4 ps       _1514_: NAND2X1_225/Y ->  NAND2X1_227/B
   3111.6 ps       _1517_: NAND2X1_227/Y ->  NAND3X1_172/B
   3282.6 ps       _1590_: NAND3X1_172/Y ->  NAND2X1_236/B
   3396.4 ps       _1591_: NAND2X1_236/Y ->  OAI21X1_456/A
   3568.5 ps       _1592_: OAI21X1_456/Y ->   AOI22X1_62/D
   3736.3 ps       _1594_:  AOI22X1_62/Y ->  OAI21X1_457/B
   3862.4 ps       _1595_: OAI21X1_457/Y ->  NAND2X1_237/B
   4005.7 ps       _1596_: NAND2X1_237/Y ->  NAND3X1_173/C
   4115.0 ps       _1597_: NAND3X1_173/Y ->  NAND2X1_238/A
   4264.2 ps       _1598_: NAND2X1_238/Y ->    INVX1_205/A
   4436.4 ps       _1605_:   INVX1_205/Y ->  OAI21X1_459/B
   4555.3 ps       _1450_: OAI21X1_459/Y -> DFFPOSX1_127/D

Path input pin RDY to DFFPOSX1_136/D delay 4554.9 ps
      4.4 ps          RDY:               ->      BUFX4_4/A
    298.6 ps  RDY_bF_buf5:     BUFX4_4/Y ->   NAND2X1_31/A
    441.1 ps       _1003_:  NAND2X1_31/Y ->   OAI21X1_29/C
    917.6 ps     DIMUX_0_:  OAI21X1_29/Y ->     INVX2_33/A
   1194.4 ps        _104_:    INVX2_33/Y ->  OAI21X1_141/A
   1336.5 ps        _126_: OAI21X1_141/Y ->   NOR2X1_138/B
   1424.8 ps        _127_:  NOR2X1_138/Y ->  OAI21X1_153/C
   1640.2 ps        AI_0_: OAI21X1_153/Y ->    INVX1_178/A
